"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","744","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Chrome","tests.ProductsNamesTest","checkEachProduct"
"","804","checkLocators","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"","733","Проверка ошибки при незаполненном поле Username","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUserName"
"","745","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Chrome","tests.ProductsNamesTest","checkEachProduct"
"","1085","Негативный тест: проверка валидации при отсутствии фамилии","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkLoginWithEmptyLastName"
"","685","Проверка алфавитной сортировки товаров в обратном порядке","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductSortTest","Chrome","tests.ProductSortTest","checkSortZA"
"","974","Негативный тест: проверка валидации при отправке пустой формы","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyFields"
"Проверка логина с валидными кредами","616","Проверка логина с валидными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","945","checkLocators","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
"","1005","Негативный тест: проверка валидации при отсутствии почтового индекса","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyZipCode"
"","1294","Полный цикл покупки товаров от страницы авторизации до финального подтверждения заказа","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Firefox","tests.EndToEndTest","checkEToETest"
"","786","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesAndPricesTest","Chrome","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","529","Проверка ошибки при незаполненном поле Password","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
