"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","974","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeCred1"
"","783","Проверка ошибки при незаполненном поле Password","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyPassword"
"","745","Проверка ошибки при вводе несуществующего пользователя","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка логина с валидными кредами","987","Проверка логина с валидными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithPositiveCred"
"","967","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Edge","tests.ProductsNamesTest","checkEachProduct"
"","1464","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Firefox","tests.ProductsNamesTest","checkEachProduct"
"Проверка логина с валидными кредами","995","Проверка успешного перехода в корзину после добавления товаров","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","1169","Полный цикл покупки товаров от страницы авторизации до финального подтверждения заказа","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkEToETest"
"","1628","Негативный тест: проверка валидации при отсутствии почтового индекса","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyZipCode"
"","1602","Валидное заполнение данных на первом шаге оформления заказа","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithPositiveCred"
"","2050","checkLocators","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"","1249","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Edge","tests.ProductsNamesTest","checkEachProduct"
"","1025","Проверка ошибки при незаполненном поле Username","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUserName"
"","1021","Проверка ошибки при вводе несуществующего пользователя","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNegativeCred"
"","846","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred1"
"","748","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesAndPricesTest","Chrome","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","885","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Chrome","tests.ProductsNamesTest","checkEachProduct"
"","2275","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesAndPricesTest","Firefox","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","2504","Полный цикл покупки товаров от страницы авторизации до финального подтверждения заказа","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Edge","tests.EndToEndTest","checkEToETest"
"","1079","Негативный тест: проверка валидации при отправке пустой формы","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithEmptyFields"
"","716","Проверка ошибки при незаполненном поле Username","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUserName"
"","711","Проверка ошибки при незаполненном поле Username","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyUserName"
"","1573","Негативный тест: проверка валидации при отсутствии фамилии","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Edge","tests.CheckoutTest","checkLoginWithEmptyLastName"
"","1654","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesAndPricesTest","Edge","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","1067","Негативный тест: проверка валидации при отсутствии фамилии","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkLoginWithEmptyLastName"
"","839","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Chrome","tests.ProductsNamesTest","checkEachProduct"
"","949","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred1"
"Проверка логина с валидными кредами","981","Проверка логина с валидными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
