"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","635","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred1"
"","625","Проверка ошибки при вводе несуществующего пользователя","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка логина с валидными кредами","836","Проверка логина с валидными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"","891","Проверка сортировки стоимости товаров от меньшей к большей","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductSortTest","Chrome","tests.ProductSortTest","checkPriceSortLowToHigh"
"","777","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Chrome","tests.ProductsNamesTest","checkEachProduct"
"","1219","Валидное заполнение данных на первом шаге оформления заказа","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithPositiveCred"
"","752","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Chrome","tests.ProductsNamesTest","checkEachProduct"
"Проверка логина с валидными кредами","1185","Проверка успешного перехода в корзину после добавления товаров","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkCart"
"","2429","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesAndPricesTest","Chrome","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","1204","Полный цикл покупки товаров от страницы авторизации до финального подтверждения заказа","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkEToETest"
"","1121","Негативный тест: проверка валидации при отсутствии почтового индекса","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithEmptyZipCode"
"","828","checkLocators","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"","1014","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Firefox","tests.ProductsNamesTest","checkEachProduct"
"","1169","Негативный тест: проверка валидации при отсутствии фамилии","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkLoginWithEmptyLastName"
"","608","Проверка ошибки при незаполненном поле Username","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка логина с валидными кредами","682","Проверка логина с валидными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","826","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesTest","Firefox","tests.ProductsNamesTest","checkEachProduct"
"","974","Негативный тест: проверка валидации при отсутствии фамилии","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkLoginWithEmptyLastName"
"Проверка логина с валидными кредами","915","Проверка успешного перехода в корзину после добавления товаров","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","785","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesAndPricesTest","Chrome","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","805","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNegativeCred1"
"","1728","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsNamesAndPricesTest","Firefox","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","756","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNegativeCred1"
"","1470","Проверка сортировки стоимости товаров от меньшей к большей","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductSortTest","Firefox","tests.ProductSortTest","checkPriceSortLowToHigh"
"","989","checkLocators","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
"","732","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNegativeCred1"
