"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","726","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeCred1"
"","2776","Негативный тест: проверка валидации при отправке пустой формы","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyFields"
"","2612","checkLocators","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"","1445","Негативный тест: проверка валидации при отсутствии фамилии","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkLoginWithEmptyLastName"
"","2106","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesAndPricesTest","Firefox","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","818","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNegativeCred1"
"","1635","Полный цикл покупки товаров от страницы авторизации до финального подтверждения заказа","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkEToETest"
"","2010","Валидное заполнение данных на первом шаге оформления заказа","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithPositiveCred"
"","682","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNegativeCred1"
"","1011","Проверка ошибки при незаполненном поле Password","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"","956","Валидное заполнение данных на первом шаге оформления заказа","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithPositiveCred"
"","1829","Негативный тест: проверка валидации при отсутствии почтового индекса","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyZipCode"
"","1889","Негативный тест: проверка валидации при отсутствии фамилии","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkLoginWithEmptyLastName"
"Проверка логина с валидными кредами","1460","Проверка успешного перехода в корзину после добавления товаров","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","941","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred1"
"Проверка логина с валидными кредами","866","Проверка логина с валидными кредами","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithPositiveCred"
"","1782","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesAndPricesTest","Edge","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","1455","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesAndPricesTest","Edge","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","1729","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesTest","Edge","tests.ProductsNamesTest","checkEachProduct"
"","1650","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesAndPricesTest","Firefox","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","864","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNegativeCred1"
"","962","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesAndPricesTest","Chrome","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","1690","Валидное заполнение данных на первом шаге оформления заказа","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithPositiveCred"
"","1879","checkLocators","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
"","1444","Негативный тест: проверка валидации при отсутствии почтового индекса","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithEmptyZipCode"
"","1356","Негативный тест: проверка валидации при отправке пустой формы","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Firefox","tests.CheckoutTest","checkCheckoutWithEmptyFields"
"","1648","Проверка алфавитной сортировки товаров в обратном порядке","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductSortTest","Firefox","tests.ProductSortTest","checkSortZA"
"Проверка логина с валидными кредами","1017","Проверка логина с валидными кредами","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","779","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred1"
"","887","Проверка ошибки при вводе несуществующего пользователя","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeCred"
"","1613","Негативный тест: проверка валидации при отсутствии фамилии","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Edge","tests.CheckoutTest","checkLoginWithEmptyLastName"
