"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1755","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesTest","Edge","tests.ProductsNamesTest","checkEachProduct"
"Проверка логина с валидными кредами","1992","Проверка успешного перехода в корзину после добавления товаров","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CartTest","Edge","tests.CartTest","checkCart"
"","1452","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesTest","Chrome","tests.ProductsNamesTest","checkEachProduct"
"","850","Проверка ошибки при незаполненном поле Password","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","2014","Проверка сортировки стоимости товаров от меньшей к большей","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductSortTest","Firefox","tests.ProductSortTest","checkPriceSortLowToHigh"
"","2586","checkLocators","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LocatorsTest","Edge","tests.LocatorsTest","checkLocators"
"","881","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeCred1"
"","1036","Проверка соответствия цен конкретных товаров после добавления в корзину","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesAndPricesTest","Chrome","tests.ProductsNamesAndPricesTest","testProductsAndPrice"
"","2319","Полный цикл покупки товаров от страницы авторизации до финального подтверждения заказа","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.EndToEndTest","Firefox","tests.EndToEndTest","checkEToETest"
"","673","Проверка ошибки при незаполненном поле Username","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyUserName"
"","784","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeCred1"
"","1120","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesTest","Chrome","tests.ProductsNamesTest","checkEachProduct"
"","2554","Полный цикл покупки товаров от страницы авторизации до финального подтверждения заказа","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.EndToEndTest","Edge","tests.EndToEndTest","checkEToETest"
"","2178","Негативный тест: проверка валидации при отсутствии почтового индекса","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCheckoutWithEmptyZipCode"
"","602","Проверка ошибки при незаполненном поле Username","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUserName"
"","1585","Проверка алфавитной сортировки товаров в обратном порядке","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductSortTest","Chrome","tests.ProductSortTest","checkSortZA"
"","1454","Проверка сортировки стоимости товаров от меньшей к большей","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductSortTest","Edge","tests.ProductSortTest","checkPriceSortLowToHigh"
"","903","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesTest","Firefox","tests.ProductsNamesTest","checkEachProduct"
"","1376","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesTest","Firefox","tests.ProductsNamesTest","checkEachProduct"
"","1445","Проверка алфавитной сортировки товаров в обратном порядке","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductSortTest","Edge","tests.ProductSortTest","checkSortZA"
"","1155","Проверка ошибки при вводе несуществующего пользователя","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred"
"","1143","Проверка сортировки стоимости товаров от меньшей к большей","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductSortTest","Chrome","tests.ProductSortTest","checkPriceSortLowToHigh"
"","915","Проверка различных комбинаций невалидных данных через DataProvider","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred1"
"","1524","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesTest","Chrome","tests.ProductsNamesTest","checkEachProduct"
"","1874","Негативный тест: проверка валидации при отправке пустой формы","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CheckoutTest","Chrome","tests.CheckoutTest","checkCheckoutWithEmptyFields"
"","1274","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesTest","Firefox","tests.ProductsNamesTest","checkEachProduct"
"","880","Проверка ошибки при незаполненном поле Password","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка логина с валидными кредами","742","Проверка логина с валидными кредами","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"","556","Проверка ошибки при вводе несуществующего пользователя","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithNegativeCred"
"","528","Проверка ошибки при незаполненном поле Username","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUserName"
"","1440","Проверка корректного отображения имени каждого товара в корзине","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.ProductsNamesTest","Edge","tests.ProductsNamesTest","checkEachProduct"
"Проверка логина с валидными кредами","1519","Проверка успешного перехода в корзину после добавления товаров","SauceDemo cross browser suite","2026-06-07","passed","2026-06-07","tests.CartTest","Firefox","tests.CartTest","checkCart"
